token;ner
szomorú;O
történet;O
.;O
;
Valaki;O
balesetet;O
szenvedett;O
,;O
eszméletlenül;O
feküdt;O
,;O
és;O
aki;O
elõször;O
odament;O
hozzá;O
,;O
az;O
nem;O
segített;O
neki;O
,;O
hanem;O
kifosztotta;O
.;O
;
Ez;O
megdöbbentõ;O
eset;O
,;O
és;O
azért;O
jutott;O
eszembe;O
,;O
mert;O
valami;O
hasonlóságot;O
mutat;O
azzal;O
,;O
ami;O
egyes;O
kilakoltatások;O
esetén;O
történik;O
.;O
;
Mi;O
a;O
helyzet;O
ma;O
?;O
;
Meghirdetik;O
valakinek;O
az;O
otthonát;O
a;O
becsérték;O
70;O
százalékán;O
,;O
és;O
miután;O
ezt;O
eladták;O
,;O
ennek;O
a;O
háznak;O
a;O
részleteit;O
továbbra;O
is;O
fizetnie;O
kell;O
az;O
adósnak;O
.;O
;
Ez;O
egy;O
képtelen;O
helyzet;O
,;O
ami;O
még;O
nagyobb;O
ellehetetlenülésbe;O
taszítja;O
a;O
családokat;O
.;O
;
Ezért;O
a;O
módosításunkban;O
az;O
szerepel;O
,;O
hogy;O
a;O
becsérték;O
100;O
százalékán;O
kell;O
ezt;O
az;O
árverezést;O
megoldani;O
.;O
;
És;O
ha;O
ez;O
több;O
lépésben;O
sem;O
sikerült;O
,;O
akkor;O
lehet;O
lemenni;O
80;O
százalékra;O
.;O
;
Én;O
tudok;O
olyan;O
módosító;O
javaslatról;O
,;O
ami;O
ezt;O
a;O
80-at;O
is;O
90;O
százalékra;O
emelné;O
,;O
természetesen;O
ezt;O
is;O
támogatjuk;O
.;O
;
Az;O
is;O
tény;O
,;O
hogy;O
ez;O
azokra;O
a;O
családokra;O
vonatkozik;O
,;O
ahol;O
egyetlen;O
lakóingatlanként;O
szerepel;O
ez;O
az;O
árverezésen;O
,;O
és;O
ebben;O
lakik;O
a;O
család;O
.;O
;
Nyilván;O
,;O
ahol;O
több;O
ingatlanról;O
van;O
szó;O
,;O
arra;O
nem;O
ez;O
a;O
szabályozás;O
érvényes;O
.;O
;
És;O
még;O
egy;O
módosító;O
javaslat;O
jutott;O
el;O
hozzánk;O
,;O
amit;O
szintén;O
támogatni;O
tudunk;O
.;O
;
Ez;O
pedig;O
a;O
hitelezõ;O
és;O
az;O
adós;O
közötti;O
megegyezésrõl;O
szól;O
,;O
amely;O
megegyezés;O
kapcsán;O
lehet;O
ennek;O
a;O
kikiáltási;O
értéknek;O
alacsonyabbnak;O
lennie;O
,;O
de;O
abban;O
az;O
esetben;O
a;O
további;O
törlesztés;O
alól;O
mentesül;O
az;O
adós;O
.;O
;
Ha;O
végignézzük;O
azokat;O
az;O
adósmentõ;O
csomagokat;O
,;O
amelyek;O
az;O
évek;O
folyamán;O
megszülettek;O
,;O
akkor;O
mindenképpen;O
meg;O
kell;O
említenünk;O
a;O
végtörlesztés;O
lehetõségét;O
,;O
az;O
árfolyamgátat;O
,;O
a;O
forintosítást;O
,;O
a;O
családi;O
csõdvédelmet;O
vagy;O
az;O
eszközkezelõt;O
.;O
;
Ezek;O
sok;O
embert;O
kiemeltek;O
abból;O
a;O
helyzetbõl;O
,;O
amibe;O
elsõsorban;O
a;O
devizaárfolyamok;O
juttatták;O
õket;O
.;O
;
De;O
az;O
is;O
tény;O
,;O
hogy;O
ma;O
még;O
van;O
145;O
ezer;O
olyan;O
család;O
,;O
akik;O
nem;O
tudják;O
a;O
törlesztéseket;O
fizetni;O
,;O
és;O
3;O
hónapnál;O
hosszabb;O
idõ;O
óta;O
nem;O
fizettek;O
.;O
;
Én;O
biztos;O
vagyok;O
benne;O
,;O
hogy;O
lesznek;O
ellenvélemények;O
is;O
.;O
;
Elsõsorban;O
egyrészt;O
a;O
bankok;O
részérõl;O
.;O
;
Én;O
már;O
hallottam;O
olyat;O
,;O
hogy;O
azt;O
kifogásolják;O
,;O
hogy;O
sokan;O
vannak;O
,;O
akik;O
tudnának;O
,;O
de;O
nem;O
akarnak;O
fizetni;O
.;O
;
Nem;O
tudom;O
,;O
hányan;O
vannak;O
";";O
én;O
azt;O
tudom;O
,;O
hogy;O
még;O
többen;O
vannak;O
azok;O
,;O
akik;O
képtelenek;O
fizetni;O
.;O
;
Itt;O
ki;O
kell;O
mondanunk;O
egy;O
olyan;O
alapelvet;O
,;O
amiben;O
,;O
azt;O
hiszem;O
,;O
egyetérthetünk;O
.;O
;
Abban;O
az;O
esetben;O
,;O
ha;O
önhibáján;O
kívül;O
olyan;O
oka;O
van;O
az;O
ellehetetlenülésnek;O
,;O
akkor;O
a;O
helyzet;O
kezelésében;O
részt;O
kell;O
vállalnia;O
nemcsak;O
az;O
államnak;O
,;O
nemcsak;O
az;O
érintettnek;O
,;O
hanem;O
a;O
pénzintézetnek;O
is;O
.;O
;
Tehát;O
a;O
három;O
szereplõ;O
valamiképpen;O
meg;O
kell;O
oldja;O
ezt;O
a;O
kérdést;O
.;O
;
Különösen;O
akkor;O
,;O
ha;O
tömegekrõl;O
van;O
szó;O
.;O
;
Az;O
az;O
otthonmentési;O
akció;O
,;O
ami;O
eddig;O
már;O
több;O
esetben;O
,;O
több;O
lépésben;O
megtörtént;O
,;O
kiegészül;O
azzal;O
,;O
amit;O
megint;O
csak;O
egy;O
ilyen;O
eset;O
kapcsán;O
meg;O
kell;O
említenünk;O
,;O
az;O
otthonteremtés;O
lehetõségével;O
,;O
ami;O
a;O
nagyvonalú;O
CSOK-kal;O
valósult;O
meg;O
.;O
;
Úgy;O
gondolom;O
,;O
ez;O
együtt;O
,;O
a;O
már;O
ellehetetlenült;O
családok;O
megmentése;O
,;O
illetve;O
a;O
fiatalok;O
otthonteremtése;O
biztosít;O
egy;O
olyan;O
lehetõséget;O
,;O
ami;O
Magyarországon;I-LOC
a;O
lakhatást;O
meg;O
fogja;O
oldani;O
.;O
;
Köszönöm;O
figyelmüket;O
.;O
;
(;O
Taps;O
a;O
kormánypárti;O
padsorokban;O
.;O
);O
;
VONA;I-PER
GÁBOR;I-PER
(;O
Jobbik;I-PER
);O
:;O
Tisztelt;I-ORG
Elnök;I-ORG
Úr;I-ORG
!;I-ORG
;
Tisztelt;O
Országgyûlés;I-ORG
!;O
;
Eljött;O
a;O
pillanat;O
,;O
hogy;O
ennyi;O
sok;O
negatívum;O
után;O
azért;O
egy;O
pozitívumot;O
is;O
kiemeljek;O
az;O
önök;O
kormányzásából;O
,;O
és;O
ez;O
pedig;O
az;O
,;O
hogy;O
amióta;O
önök;O
kormányon;O
vannak;O
,;O
az;O
elmúlt;O
években;O
eltûnt;O
a;O
szervezett;O
bûnözés;O
Magyarországon;I-LOC
.;O
;
Megszûnt;O
a;O
szervezett;O
alvilág;O
mûködése;O
.;O
;
Na;O
,;O
eddig;O
tartottak;O
a;O
pozitívumok;O
,;O
ugyanis;O
az;O
,;O
hogy;O
ez;O
megtörtént;O
,;O
ennek;O
azért;O
felhõtlenül;O
nem;O
tudunk;O
örülni;O
.;O
;
Hiszen;O
ha;O
a;O
kérdést;O
feltesszük;O
,;O
hogy;O
miért;O
is;O
szûnt;O
meg;O
Magyarországon;I-LOC
a;O
szervezett;O
alvilág;O
,;O
a;O
szervezett;O
bûnözés;O
,;O
akkor;O
arra;O
az;O
a;O
válasz;O
,;O
hogy;O
azért;O
,;O
mert;O
önök;O
ma;O
Magyarországon;I-LOC
a;O
szervezett;O
alvilág;O
és;O
a;O
szervezett;O
bûnözés;O
.;O
;
Egy;O
olyan;O
politikai;O
maffiát;O
hoztak;O
létre;O
,;O
amely;O
mellett;O
egyszerûen;O
nincs;O
levegõ;O
,;O
és;O
nincs;O
tér;O
semmiféle;O
egyéb;O
szervezett;O
alvilági;O
mûködésnek;O
.;O
;
Aminek;O
persze;O
örülünk;O
,;O
hogy;O
ennek;O
nincs;O
tér;O
,;O
és;O
nincs;O
levegõ;O
,;O
annak;O
már;O
kevésbé;O
,;O
hogy;O
ma;O
Magyarországon;I-LOC
a;O
szervezett;O
alvilág;O
ilyen;O
magas;O
politikai;O
szintre;O
emelkedett;O
.;O
;
De;O
hogyan;O
is;O
jutottunk;O
el;O
idáig;O
,;O
hogy;O
ilyen;O
kérdésekrõl;O
kell;O
sajnos;O
beszélni;O
?;O
;
Az;O
egész;O
ott;O
kezdõdik;O
,;O
hogy;O
a;O
rendszerváltozás;O
után;O
a;O
szocialista;O
nómenklatúra;O
külföldi;O
gazdasági;O
és;O
pénzügyi;O
segítséggel;O
uralkodott;O
Magyarországon;I-LOC
a;O
nép;O
érdekeit;O
figyelmen;O
kívül;O
hagyva;O
,;O
és;O
elvette;O
az;O
emberektõl;O
a;O
szabadságot;O
,;O
elvette;O
az;O
emberektõl;O
az;O
anyagi;O
biztonságot;O
,;O
és;O
elvette;O
az;O
emberektõl;O
az;O
igazságérzetüket;O
is;O
.;O
;
Ebbõl;O
egy;O
idõ;O
után;O
az;O
egyébként;O
nagyon;O
türelmes;O
magyar;O
népnek;O
is;O
elege;O
lett;O
.;O
;
Elzavarták;O
a;O
szocialistákat;O
,;O
és;O
jöttek;O
önök;O
.;O
;
De;O
ma;O
már;O
tudjuk;O
,;O
hogy;O
cseberbõl;O
vederbe;O
került;O
az;O
ország;O
.;O
;
Lényegében;O
csak;O
annyi;O
változott;O
,;O
hogy;O
nem;O
külföldi;O
helytartók;O
veszik;O
el;O
az;O
emberek;O
anyagi;O
biztonságát;O
,;O
szabadságát;O
vagy;O
igazságérzetét;O
,;O
hanem;O
önök;O
,;O
hazai;O
földesurak;O
önös;O
érdekbõl;O
veszik;O
el;O
az;O
emberek;O
szabadságát;O
,;O
biztonságát;O
és;O
igazságát;O
.;O
;
Létrehoztak;O
egy;O
új;O
feudalizmust;O
,;O
tisztelt;O
fideszes;O
képviselõtársaim;O
,;O
új;O
földesurakkal;O
,;O
Döbrögikkel;O
,;O
kis;O
gömböcökkel;O
,;O
akik;O
törvények;O
,;O
állam;O
,;O
jog;O
,;O
minden;O
felett;O
állnak;O
,;O
és;O
ha;O
valami;O
önöknek;O
megtetszik;O
,;O
akkor;O
azt;O
egyszerûen;O
elveszik;O
.;O
;
Hogyha;O
valaki;O
önöknek;O
nem;O
tetszik;O
,;O
akkor;O
azt;O
egyszerûen;O
elteszik;O
az;O
útból;O
maguk;O
elõl;O
,;O
lényegében;O
önök;O
egy;O
ilyen;O
földesúri;O
rendszert;O
hoztak;O
létre;O
,;O
és;O
ennek;O
a;O
földesúri;O
rendszernek;O
és;O
ennek;O
a;O
kis;O
gömböcökre;O
és;O
Döbrögikre;I-LOC
épülõ;O
rendszernek;O
a;O
szimbóluma;O
Mészáros;I-PER
Lõrinc;I-PER
,;O
a;O
magyar;O
csoda;O
";";O
aki;O
bizonyos;O
értelemben;O
már;O
életében;O
legendává;O
vált;O
,;O
hiszen;O
ugye;O
,;O
a;O
népnek;O
már;O
számtalan;O
elnevezése;O
van;O
Mészáros;I-PER
Lõrincre;I-PER
.;O
;
Hívják;O
õt;O
pénztáros;O
Lõrincnek;I-PER
,;O
hívják;O
a;O
nemzet;O
gázszerelõjének;O
,;O
hallottam;O
már;O
a;O
felcsúti;O
Chuck;I-PER
Norris;I-PER
elnevezést;O
is;O
,;O
de;O
ugye;O
,;O
nemrégiben;O
megtudtuk;O
,;O
hogy;O
õ;O
a;O
magyar;O
Zuckerberg;I-ORG
,;O
aki;O
egyszerûen;O
okosabb;O
is;O
a;O
Facebook;I-ORG
létrehozójánál;O
,;O
alapítójánál;O
,;O
tulajdonosánál;O
,;O
hiszen;O
ez;O
az;O
ember;O
tíz;O
év;O
alatt;O
,;O
az;O
elmúlt;O
tíz;O
évben;O
megezerszerezte;O
a;O
bevételét;O
.;O
;
Ugye;O
,;O
Mészáros;I-PER
Lõrinc;I-PER
2006-2016;O
között;O
20;O
millióról;O
20;O
milliárdra;O
növelte;O
a;O
bevételeit;O
.;O
;
Higgyék;O
el;O
nekem;O
,;O
tisztelt;O
fiatal;O
demokrata;O
képviselõtársaim;O
,;O
hogy;O
nem;O
az;O
irigység;O
beszél;O
belõlünk;O
,;O
nem;O
irigyeljük;O
Mészáros;I-PER
Lõrinctõl;I-PER
ezt;O
a;O
bevételt;O
,;O
egyszerûen;O
arról;O
van;O
szó;O
,;O
hogy;O
vannak;O
bennünk;O
kínos;O
,;O
kellemetlen;O
,;O
nyomasztó;O
kérdések;O
,;O
méghozzá;O
azok;O
,;O
hogy;O
honnan;O
.;O
;
Mibõl;O
fakad;O
ez;O
az;O
erõ;O
?;O
;
Honnan;O
jön;O
ez;O
a;O
tudás;O
?;O
;
Honnan;O
,;O
az;O
univerzum;O
melyik;O
pontjáról;O
érkezett;O
ebbe;O
az;O
emberbe;O
ez;O
az;O
omnipotencia;O
,;O
ami;O
itt;O
szétárad;O
Magyarországon;I-LOC
?;O
;
Vagy;O
pusztán;O
csak;O
arról;O
van;O
szó;O
,;O
hogy;O
ez;O
az;O
ember;O
nem;O
más;O
,;O
mint;O
Orbán;I-PER
Viktornak;I-PER
a;O
strómanja;O
,;O
ahogy;O
én;O
azt;O
már;O
néhányszor;O
itt;O
az;O
Országgyûlésben;I-ORG
szóvá;O
tettem;O
,;O
és;O
megkérdeztem;O
miniszterelnök;O
úrtól;O
is;O
.;O
;
Tisztelt;O
Képviselõtársaim;O
!;O
;
Hadd;O
idézzek;O
egy;O
mondatot;O
,;O
amit;O
az;O
elmúlt;O
napokban;O
szerintem;O
nagyon;O
sokan;O
hallottunk;O
:;O
„;O
És;O
mosolyogsz;O
már;O
,;O
mindenki;O
vidám;O
,;O
ez;O
az;O
én;O
filozófiám;O
.;O
	O;
;
Énekli;O
Kasszás;I-PER
Erzsi;I-PER
,;O
akit;O
ugye;O
,;O
megismert;O
az;O
ország;O
az;O
elmúlt;O
napokban;O
,;O
és;O
hogyha;O
Kasszás;I-PER
Erzsit;I-PER
és;O
a;O
felcsúti;O
kasszást;O
egymás;O
mellé;O
tesszük;O
,;O
és;O
összehasonlítjuk;O
az;O
õ;O
éves;O
jövedelmüket;O
,;O
akkor;O
abból;O
kell;O
kiindulni;O
,;O
hogy;O
Kasszás;I-PER
Erzsi;I-PER
körülbelül;O
151;O
930;O
forintot;O
keres;O
egy;O
hónapban;O
.;O
;
Ha;O
ez;O
a;O
reklám;O
tetszett;O
a;O
fõnökének;O
,;O
talán;O
megemelte;O
200;O
ezer;O
forintra;O
a;O
fizetését;O
.;O
;
De;I-PER
Kasszás;I-PER
Erzsinek;I-PER
így;O
is;O
8333;O
évig;O
kellene;O
dolgozni;O
egyfolytában;O
,;O
vagy;O
100;O
ezer;O
hónapig;O
kéne;O
dolgozni;O
egyfolytában;O
,;O
vagy;O
3;O
millió;O
41;O
ezer;O
667;O
napig;O
kellene;O
dolgoznia;O
egyfolytában;O
,;O
hogy;O
Mészáros;I-PER
Lõrinc;I-PER
egyévi;O
bevételét;O
elérje;O
.;O
;
Nos;O
,;O
ha;O
meghallja;O
ezeket;O
a;O
számokat;O
Kasszás;I-PER
Erzsi;I-PER
,;O
akkor;O
bizonyára;O
az;O
arcára;O
fagy;O
ennek;O
az;O
egyébként;O
úgy;O
tûnik;O
,;O
örök;O
optimista;O
és;O
mosolygós;O
hölgynek;O
is;O
a;O
mosoly;O
.;O
;
De;O
azt;O
javaslom;O
,;O
hogy;O
ne;O
viccelõdjünk;O
,;O
és;O
én;O
sem;O
fogok;O
viccelõdni;O
tovább;O
ezen;O
a;O
kérésen;O
,;O
mert;O
egyáltalán;O
nem;O
vicces;O
.;O
;
Ugyanis;O
az;O
a;O
helyzet;O
,;O
ami;O
az;O
ország;O
számára;O
most;O
már;O
teljesen;O
világos;O
,;O
hogy;O
az;O
önök;O
kormányzása;O
nem;O
szól;O
másról;O
,;O
mint;O
hogy;O
önök;O
lopnak;O
.;O
;
Méghozzá;O
nagyon;O
!;O
;
És;O
hiába;O
építenek;O
ûrállomást;O
,;O
és;O
hiába;O
próbálnak;O
majd;O
elmenekülni;O
ki;O
tudja;O
,;O
hová;O
,;O
innen;O
a;O
számonkérés;O
elõl;O
,;O
nem;O
fogják;O
tudni;O
elkerülni;O
ezt;O
a;O
számonkérést;O
.;O
;
2018-ban;O
a;O
magyar;O
társadalom;O
önöket;O
le;O
fogja;O
váltani;O
,;O
a;O
magyar;O
társadalom;O
ítéletet;O
fog;O
önök;O
fölött;O
mondani;O
,;O
és;O
a;O
Jobbik;I-ORG
ezt;O
az;O
ítéletet;O
végre;O
fogja;O
hajtani;O
.;O
;
2018-ban;O
önök;O
el;O
lesznek;O
számoltatva;O
,;O
méghozzá;O
nagyon;O
.;O
;
Egy;O
évük;O
van;O
erre;O
,;O
készüljenek;O
!;O
;
Köszönöm;O
a;O
figyelmet;O
.;O
;
(;O
Taps;O
a;O
Jobbik;I-ORG
soraiból;O
.;O
);O
;
KÓSA;I-PER
LAJOS;I-PER
(;O
Fidesz;I-ORG
);O
:;O
Elnök;O
Úr;O
!;O
;
Tisztelt;I-PER
Ház;I-PER
!;O
;
Már;O
évek;O
óta;O
nagyon;O
komolyan;O
borzolja;O
a;O
kedélyeket;O
a;O
Szeviép-ügy;O
,;O
ami;O
Szegeden;I-LOC
zajlik;O
.;O
;
(;O
Dr.;O
Varga;I-PER
László;I-PER
:;O
Megjöttek;O
a;O
mérések;O
Botkáról;I-LOC
?;O
;
?;O
Dr.;O
Józsa;I-PER
István;I-PER
:;O
Nagy;O
a;O
baj;O
!;O
);O
379;O
kisvállalkozót;O
tett;O
tönkre;O
a;O
Szeviép;I-LOC
,;O
és;O
mintegy;O
11;O
milliárd;O
forint;O
adósságot;O
hagyott;O
maga;O
mögött;O
.;O
;
2013-ban;O
a;O
NAV;I-ORG
csõdbûncselekmény;O
ügyében;O
is;O
nyomozást;O
indított;O
,;O
és;O
a;O
büntetõeljárás;O
most;O
is;O
zajlik;O
a;O
cégvezetõkkel;O
szemben;O
,;O
akik;O
egyébként;O
több;O
szállal;O
kötõdnek;O
a;O
szocialistákhoz;O
,;O
kiemelten;O
Ujhelyi;I-PER
Istvánhoz;I-PER
.;O
;
A;O
Szeviépnek;I-ORG
ugyanis;O
akkor;O
,;O
amikor;O
a;O
nagy;O
pénzeket;O
kapták;O
,;O
önálló;O
jegyzõje;O
aláírási;O
joggal;O
az;O
a;O
Pistrui;I-PER
László;I-PER
volt;O
,;O
aki;O
Botka;I-PER
polgármester;O
úrral;O
is;O
szoros;O
kapcsolatot;O
ápolt;O
,;O
és;O
Ujhelyi;I-PER
Istvánnak;I-PER
pedig;O
üzlettársa;O
volt;O
.;O
;
(;O
13.50;O
);O
Ebben;O
az;O
idõben;O
lett;O
Szeged;I-LOC
egyik;O
legsikeresebb;O
építõipari;O
vállalkozása;O
a;O
Szeviép;I-ORG
,;O
és;O
számos;O
önkormányzati;O
és;O
európai;O
projekt;O
megvalósításán;O
dolgozott;O
.;O
;
Ugyanakkor;O
a;O
mostani;O
tárgyalásokon;O
egy;O
sor;O
megdöbbentõ;O
állítás;O
kapott;O
napvilágot;O
.;O
;
Az;O
alvállalkozókat;O
,;O
azt;O
a;O
több;O
mint;O
300;O
kisvállalkozót;O
,;O
beszállítót;O
Szabó;I-PER
Bálint;I-PER
képviseli;O
,;O
aki;O
egyszerûen;O
azt;O
állította;O
a;O
mostani;O
tárgyalásokon;O
,;O
hogy;O
az;O
eltûnt;O
milliárdok;O
az;O
MSZP;I-ORG
kasszájában;O
végezték;O
(;O
Moraj;I-PER
az;O
MSZP;I-ORG
soraiból;O
.;O
;
);O
,;O
és;O
ezt;O
tényekkel;O
is;O
alátámasztotta;O
.;O
;
A;O
Szeviép;I-ORG
Zrt.;I-ORG
alvállalkozóinak;O
a;O
képviselõjeként;O
azt;O
mondta;O
,;O
hogy;O
az;O
építõipari;O
cég;O
milliárdokat;O
nem;O
fizetett;O
ki;O
az;O
alvállalkozóknak;O
,;O
miközben;O
több;O
nagyberuházás;O
kapcsán;O
olyan;O
cégeket;O
segített;O
kölcsönökkel;O
,;O
amelyek;O
többek;O
között;O
Ujhelyi;I-PER
István;I-PER
szocialista;O
politikushoz;O
köthetõk;O
,;O
például;O
az;O
egyiknek;O
az;O
ügyvezetõje;O
maga;O
a;O
szocialista;O
politikus;O
volt;O
.;O
;
Szó;O
szerint;O
idézem;O
azt;O
,;O
amit;O
a;O
tárgyaláson;O
Szabó;I-PER
Bálint;I-PER
mondott;O
:;O
„;O
Úgy;O
gondolom;O
,;O
napnál;O
világosabb;O
,;O
hogy;O
mi;O
zajlik;O
Szegeden;I-LOC
.;O
;
A;O
szegedi;O
uniós;O
beruházásokat;O
kivétel;O
nélkül;O
a;O
Szeviép;I-ORG
Zrt.;I-ORG
vitte;O
el;O
.;O
;
A;O
cég;O
az;O
alvállalkozókkal;O
megcsináltatta;O
a;O
munkát;O
,;O
de;O
az;O
alvállalkozókat;O
nem;O
fizette;O
ki;O
,;O
helyette;O
kitolta;O
a;O
pénzeket;O
Ujhelyi;I-PER
István;I-PER
sofõrjének;O
és;O
a;O
cégének;O
.;O
;
(;O
Derültség;O
az;O
MSZP;I-ORG
soraiból;O
.;O
;
);O
2008-tól;O
egészen;O
a;O
2010-es;O
országgyûlési;O
választásokig;O
heti;O
,;O
havi;O
rendszerességgel;O
milliós;O
és;O
tízmilliós;O
nagyságrendekkel;O
összességében;O
mintegy;O
félmilliárd;O
forintot;O
talicskáztak;O
ki;O
ebbõl;O
a;O
cégcsoportból;O
.;O
	O;
;
Ezt;O
szó;O
szerint;O
Szabó;I-PER
Bálint;I-PER
állította;O
a;O
tárgyaláson;O
.;O
;
Szó;O
szerint;O
!;O
;
Az;O
ügyvéd;O
szerint;O
egyébként;O
,;O
szintén;O
a;O
tárgyalásról;O
idézek;O
:;O
„;O
Teljesen;O
egyértelmû;O
,;O
hogy;O
Szegeden;I-LOC
bukott;O
és;O
tiltott;O
pártfinanszírozás;O
valósult;O
meg;O
.;O
	O;
;
(;O
Bangóné;O
Borbély;I-PER
Ildikó;I-PER
:;O
Ez;O
a;O
te;O
szádból;O
annyira;O
szánalmas;O
!;O
);O
;
Szó;O
szerinti;O
idézet;O
megint;O
a;O
tárgyalásról;O
:;O
„;O
Nagy;O
biztonsággal;O
kijelenthetõ;O
,;O
hogy;O
a;O
Szeviép-cégcsoporttól;O
a;O
pénzek;O
különbözõ;O
baloldali;O
pártokhoz;O
vándoroltak;O
,;O
elsõsorban;O
a;O
Magyar;I-ORG
Szocialista;I-ORG
Párthoz;I-ORG
és;O
a;O
Magyar;I-ORG
Demokrata;I-ORG
Fórumhoz;I-ORG
.;O
	O;
;
(;O
Moraj;O
az;O
MSZP;I-ORG
soraiból;O
.;O
);O
;
A;O
jogász;O
még;O
a;O
következõket;O
is;O
kijelentette;O
:;O
a;O
vádiratban;O
szereplõ;O
két;O
vádpont;O
,;O
nevezetesen;O
,;O
hogy;O
2008;O
közepétõl;O
egészen;O
a;O
2010-es;O
választásokig;O
heti;O
,;O
havi;O
rendszerességgel;O
20.jan;O
millió;O
forintos;O
tételek;O
kerültek;O
(;O
Dr.;I-PER
Józsa;I-PER
István;I-PER
:;O
Szabó;I-PER
Bálint;I-PER
?;O
);O
;
Ujhelyi;I-PER
István;I-PER
MSZP-s;O
és;O
Európa;I-LOC
parlamenti;O
képviselõ;O
volt;O
sofõrjének;O
,;O
Báló;I-PER
Tamásnak;I-PER
a;O
cégéhez;O
.;O
;
Egyébként;O
ma;O
Báló;I-PER
Tamás;I-PER
a;O
Szegedi;I-ORG
Közlekedési;I-ORG
Társaság;I-ORG
repülési;O
üzletágának;O
a;O
vezetõje;O
.;O
;
Tisztelt;O
Parlament;I-LOC
!;O
;
Miközben;O
a;O
szocialisták;O
elõszeretettel;O
vagdalkoznak;O
mindenfajta;O
korrupciós;O
szlogennel;O
és;O
jelzõvel;O
,;O
alapállításokra;O
nem;O
válaszolnak;O
.;O
;
Nem;O
tisztázták;O
azt;O
,;O
hogy;O
(;O
Közbeszólás;O
az;O
MSZP;I-ORG
soraiból;O
:;O
Orvost;O
!;O
);O
a;O
Szeviéptõl;I-ORG
elvitt;O
pénzek;O
valóban;O
a;O
szocialistákhoz;O
kerültek-e;O
vagy;O
sem;O
.;O
;
Az;O
ügyvéd;O
tényekkel;O
támasztja;O
ezt;O
alá;O
.;O
;
Hallgatnak;O
a;O
4-es;O
metró;O
beruházása;O
kapcsán;O
az;O
ennél;O
nagyságrenddel;O
nagyobb;O
eltûnt;O
százmilliárdokról;O
(;O
Dr.;O
Szakács;I-PER
László;I-PER
:;O
Egy;O
tényt;O
nem;O
mondtál;O
még;O
!;O
;
?;O
Gõgös;I-PER
Zoltán;I-PER
:;O
Lajos;I-PER
,;O
miért;O
nem;O
tettél;O
feljelentést;O
?;O
);O
,;O
és;O
egészen;O
addig;O
,;O
amíg;O
a;O
szocialisták;O
nem;O
tesznek;O
részletes;O
feltáró;O
vallomást;O
ezekben;O
az;O
ügyekben;O
(;O
Gõgös;I-PER
Zoltán;I-PER
:;O
Ehhez;O
már;O
pofa;O
kell;O
!;O
;
?;O
Dr.;O
Varga;I-PER
László;I-PER
:;O
Nagyon;O
be;O
lehettek;O
tojva;O
!;O
);O
,;O
minden;O
korrupcióval;O
kapcsolatos;O
kijelentésük;O
hiteltelen;O
és;O
blöff;O
.;O
;
Köszönöm;O
szépen;O
a;O
figyelmet;O
.;O
;
(;O
Taps;O
a;O
kormánypárti;O
padsorokban;O
.;O
);O
;
IKOTITY;I-PER
ISTVÁN;I-PER
(;O
LMP;I-ORG
);O
:;O
Köszönöm;O
a;O
szót;O
,;O
elnök;O
úr;O
.;O
;
Tisztelt;I-PER
Ház;I-PER
!;O
;
Tisztelt;O
Államtitkár;O
Úr;O
!;O
;
Az;O
elmúlt;O
években;O
a;O
kormánypártokon;O
kívül;O
mindenki;O
számára;O
teljesen;O
egyértelmûvé;O
vált;O
,;O
hogy;O
a;O
politikusok;O
önbevallásán;O
alapuló;O
vagyonnyilatkozatok;O
nem;O
érnek;O
semmit;O
.;O
;
Nincs;O
olyan;O
év;O
,;O
amikor;O
ne;O
derülnének;O
ki;O
elfelejtett;O
ingatlanok;O
,;O
elfelejtett;O
négyzetméterek;O
,;O
eltitkolt;O
nyaralók;O
vagy;O
elhazudott;O
százmilliók;O
,;O
mindenféle;O
következmények;O
nélkül;O
.;O
;
A;O
vagyonnyilatkozati;O
rendszer;O
ma;O
nem;O
az;O
átláthatóság;O
bizonyítéka;O
,;O
hanem;O
korrupt;O
,;O
gõgös;O
politikai;O
elit;O
kiábrándító;O
bizonyítványa;O
saját;O
magáról;O
.;O
;
Aki;O
részt;O
vesz;O
a;O
jelenlegi;O
vagyonnyilatkozati;O
rendszer;O
fenntartásában;O
,;O
az;O
bûnrészességet;O
vállal;O
minden;O
egyes;O
korrupt;O
politikussal;O
,;O
minden;O
ellopott;O
forinttal;O
,;O
függetlenül;O
attól;O
,;O
hogy;O
a;O
pénzt;O
õ;O
vagy;O
egy;O
kollégája;O
lopta;O
el;O
.;O
;
Az;O
LMP;I-ORG
nem;O
akar;O
asszisztálni;O
az;O
elmúlt;O
27;O
évben;O
kialakult;O
„;O
kéz;O
kezet;O
mos;O
	O;
elvéhez;O
,;O
mi;O
nem;O
az;O
átláthatóság;O
képmutató;O
látszatát;O
akarjuk;O
fenntartani;O
,;O
hanem;O
új;O
alapokra;O
akarjuk;O
helyezni;O
a;O
magyar;O
politikát;O
.;O
;
Mi;O
be;O
akarjuk;O
bizonyítani;O
a;O
magyar;O
embereknek;O
,;O
hogy;O
a;O
politikával;O
,;O
a;O
politikusokkal;O
nem;O
jár;O
szükségképpen;O
együtt;O
a;O
korrupció;O
.;O
;
Be;O
akarjuk;O
bizonyítani;O
,;O
hogy;O
Magyarországon;I-LOC
is;O
teremthetünk;O
olyan;O
viszonyokat;O
,;O
ahol;O
a;O
