"","year","country","continent","pop"
"671",2002,"Hong Kong, China","Asia",6762476
"672",2007,"Hong Kong, China","Asia",6980412
"673",1952,"Hungary","Europe",9504000
"674",1957,"Hungary","Europe",9839000
"675",1962,"Hungary","Europe",10063000
"676",1967,"Hungary","Europe",10223422
"677",1972,"Hungary","Europe",10394091
"678",1977,"Hungary","Europe",10637171
"679",1982,"Hungary","Europe",10705535
"680",1987,"Hungary","Europe",10612740
"681",1992,"Hungary","Europe",10348684
"682",1997,"Hungary","Europe",10244684
"683",2002,"Hungary","Europe",10083313
"684",2007,"Hungary","Europe",9956108
"685",1952,"Iceland","Europe",147962
"686",1957,"Iceland","Europe",165110
"687",1962,"Iceland","Europe",182053
"688",1967,"Iceland","Europe",198676
"689",1972,"Iceland","Europe",209275
"690",1977,"Iceland","Europe",221823
"691",1982,"Iceland","Europe",233997
"692",1987,"Iceland","Europe",244676
"693",1992,"Iceland","Europe",259012
"694",1997,"Iceland","Europe",271192
"695",2002,"Iceland","Europe",288030
"696",2007,"Iceland","Europe",301931
"697",1952,"India","Asia",372000000
"698",1957,"India","Asia",409000000
"699",1962,"India","Asia",454000000
"700",1967,"India","Asia",506000000
"701",1972,"India","Asia",567000000
"702",1977,"India","Asia",634000000
"703",1982,"India","Asia",708000000
"704",1987,"India","Asia",788000000
"705",1992,"India","Asia",872000000
"706",1997,"India","Asia",959000000
"707",2002,"India","Asia",1034172547
"708",2007,"India","Asia",1110396331
"709",1952,"Indonesia","Asia",82052000
"710",1957,"Indonesia","Asia",90124000
"711",1962,"Indonesia","Asia",99028000
"712",1967,"Indonesia","Asia",109343000
"713",1972,"Indonesia","Asia",121282000
"714",1977,"Indonesia","Asia",136725000
"715",1982,"Indonesia","Asia",153343000
"716",1987,"Indonesia","Asia",169276000
"717",1992,"Indonesia","Asia",184816000
"718",1997,"Indonesia","Asia",199278000
"719",2002,"Indonesia","Asia",211060000
"720",2007,"Indonesia","Asia",223547000
"721",1952,"Iran","Asia",17272000
"722",1957,"Iran","Asia",19792000
"723",1962,"Iran","Asia",22874000
"724",1967,"Iran","Asia",26538000
"725",1972,"Iran","Asia",30614000
"726",1977,"Iran","Asia",35480679
"727",1982,"Iran","Asia",43072751
"728",1987,"Iran","Asia",51889696
"729",1992,"Iran","Asia",60397973
"730",1997,"Iran","Asia",63327987
"731",2002,"Iran","Asia",66907826
"732",2007,"Iran","Asia",69453570
"733",1952,"Iraq","Asia",5441766
"734",1957,"Iraq","Asia",6248643
"735",1962,"Iraq","Asia",7240260
"736",1967,"Iraq","Asia",8519282
"737",1972,"Iraq","Asia",10061506
"738",1977,"Iraq","Asia",11882916
"739",1982,"Iraq","Asia",14173318
"740",1987,"Iraq","Asia",16543189
"741",1992,"Iraq","Asia",17861905
"742",1997,"Iraq","Asia",20775703
"743",2002,"Iraq","Asia",24001816
"744",2007,"Iraq","Asia",27499638
"745",1952,"Ireland","Europe",2952156
"746",1957,"Ireland","Europe",2878220
"747",1962,"Ireland","Europe",2830000
"748",1967,"Ireland","Europe",2900100
"749",1972,"Ireland","Europe",3024400
"750",1977,"Ireland","Europe",3271900
"751",1982,"Ireland","Europe",3480000
"752",1987,"Ireland","Europe",3539900
"753",1992,"Ireland","Europe",3557761
"754",1997,"Ireland","Europe",3667233
"755",2002,"Ireland","Europe",3879155
"756",2007,"Ireland","Europe",4109086
"757",1952,"Israel","Asia",1620914
"758",1957,"Israel","Asia",1944401
"759",1962,"Israel","Asia",2310904
"760",1967,"Israel","Asia",2693585
"761",1972,"Israel","Asia",3095893
"762",1977,"Israel","Asia",3495918
"763",1982,"Israel","Asia",3858421
"764",1987,"Israel","Asia",4203148
"765",1992,"Israel","Asia",4936550
"766",1997,"Israel","Asia",5531387
"767",2002,"Israel","Asia",6029529
"768",2007,"Israel","Asia",6426679
"769",1952,"Italy","Europe",47666000
"770",1957,"Italy","Europe",49182000
"771",1962,"Italy","Europe",50843200
"772",1967,"Italy","Europe",52667100
"773",1972,"Italy","Europe",54365564
"774",1977,"Italy","Europe",56059245
"775",1982,"Italy","Europe",56535636
"776",1987,"Italy","Europe",56729703
"777",1992,"Italy","Europe",56840847
"778",1997,"Italy","Europe",57479469
"779",2002,"Italy","Europe",57926999
"780",2007,"Italy","Europe",58147733
"781",1952,"Jamaica","Americas",1426095
"782",1957,"Jamaica","Americas",1535090
"783",1962,"Jamaica","Americas",1665128
"784",1967,"Jamaica","Americas",1861096
"785",1972,"Jamaica","Americas",1997616
"786",1977,"Jamaica","Americas",2156814
"787",1982,"Jamaica","Americas",2298309
"788",1987,"Jamaica","Americas",2326606
"789",1992,"Jamaica","Americas",2378618
"790",1997,"Jamaica","Americas",2531311
"791",2002,"Jamaica","Americas",2664659
"792",2007,"Jamaica","Americas",2780132
"793",1952,"Japan","Asia",86459025
"794",1957,"Japan","Asia",91563009
"795",1962,"Japan","Asia",95831757
"796",1967,"Japan","Asia",100825279
"797",1972,"Japan","Asia",107188273
"798",1977,"Japan","Asia",113872473
"799",1982,"Japan","Asia",118454974
"800",1987,"Japan","Asia",122091325
"801",1992,"Japan","Asia",124329269
"802",1997,"Japan","Asia",125956499
"803",2002,"Japan","Asia",127065841
"804",2007,"Japan","Asia",127467972
"805",1952,"Jordan","Asia",607914
"806",1957,"Jordan","Asia",746559
"807",1962,"Jordan","Asia",933559
"808",1967,"Jordan","Asia",1255058
"809",1972,"Jordan","Asia",1613551
"810",1977,"Jordan","Asia",1937652
"811",1982,"Jordan","Asia",2347031
"812",1987,"Jordan","Asia",2820042
"813",1992,"Jordan","Asia",3867409
"814",1997,"Jordan","Asia",4526235
"815",2002,"Jordan","Asia",5307470
"816",2007,"Jordan","Asia",6053193
"817",1952,"Kenya","Africa",6464046
"818",1957,"Kenya","Africa",7454779
"819",1962,"Kenya","Africa",8678557
"820",1967,"Kenya","Africa",10191512
"821",1972,"Kenya","Africa",12044785
"822",1977,"Kenya","Africa",14500404
"823",1982,"Kenya","Africa",17661452
"824",1987,"Kenya","Africa",21198082
"825",1992,"Kenya","Africa",25020539
"826",1997,"Kenya","Africa",28263827
"827",2002,"Kenya","Africa",31386842
"828",2007,"Kenya","Africa",35610177
"829",1952,"Korea, Dem. Rep.","Asia",8865488
"830",1957,"Korea, Dem. Rep.","Asia",9411381
"831",1962,"Korea, Dem. Rep.","Asia",10917494
"832",1967,"Korea, Dem. Rep.","Asia",12617009
"833",1972,"Korea, Dem. Rep.","Asia",14781241
"834",1977,"Korea, Dem. Rep.","Asia",16325320
"835",1982,"Korea, Dem. Rep.","Asia",17647518
"836",1987,"Korea, Dem. Rep.","Asia",19067554
"837",1992,"Korea, Dem. Rep.","Asia",20711375
"838",1997,"Korea, Dem. Rep.","Asia",21585105
"839",2002,"Korea, Dem. Rep.","Asia",22215365
"840",2007,"Korea, Dem. Rep.","Asia",23301725
"841",1952,"Korea, Rep.","Asia",20947571
"842",1957,"Korea, Rep.","Asia",22611552
"843",1962,"Korea, Rep.","Asia",26420307
"844",1967,"Korea, Rep.","Asia",30131000
"845",1972,"Korea, Rep.","Asia",33505000
"846",1977,"Korea, Rep.","Asia",36436000
"847",1982,"Korea, Rep.","Asia",39326000
"848",1987,"Korea, Rep.","Asia",41622000
"849",1992,"Korea, Rep.","Asia",43805450
"850",1997,"Korea, Rep.","Asia",46173816
"851",2002,"Korea, Rep.","Asia",47969150
"852",2007,"Korea, Rep.","Asia",49044790
"853",1952,"Kuwait","Asia",160000
"854",1957,"Kuwait","Asia",212846
"855",1962,"Kuwait","Asia",358266
"856",1967,"Kuwait","Asia",575003
"857",1972,"Kuwait","Asia",841934
"858",1977,"Kuwait","Asia",1140357
"859",1982,"Kuwait","Asia",1497494
"860",1987,"Kuwait","Asia",1891487
"861",1992,"Kuwait","Asia",1418095
"862",1997,"Kuwait","Asia",1765345
"863",2002,"Kuwait","Asia",2111561
"864",2007,"Kuwait","Asia",2505559
"865",1952,"Lebanon","Asia",1439529
"866",1957,"Lebanon","Asia",1647412
"867",1962,"Lebanon","Asia",1886848
"868",1967,"Lebanon","Asia",2186894
"869",1972,"Lebanon","Asia",2680018
"870",1977,"Lebanon","Asia",3115787
"871",1982,"Lebanon","Asia",3086876
"872",1987,"Lebanon","Asia",3089353
"873",1992,"Lebanon","Asia",3219994
"874",1997,"Lebanon","Asia",3430388
"875",2002,"Lebanon","Asia",3677780
"876",2007,"Lebanon","Asia",3921278
"877",1952,"Lesotho","Africa",748747
"878",1957,"Lesotho","Africa",813338
"879",1962,"Lesotho","Africa",893143
"880",1967,"Lesotho","Africa",996380
"881",1972,"Lesotho","Africa",1116779
"882",1977,"Lesotho","Africa",1251524
"883",1982,"Lesotho","Africa",1411807
"884",1987,"Lesotho","Africa",1599200
"885",1992,"Lesotho","Africa",1803195
"886",1997,"Lesotho","Africa",1982823
"887",2002,"Lesotho","Africa",2046772
"888",2007,"Lesotho","Africa",2012649
"889",1952,"Liberia","Africa",863308
"890",1957,"Liberia","Africa",975950
"891",1962,"Liberia","Africa",1112796
"892",1967,"Liberia","Africa",1279406
"893",1972,"Liberia","Africa",1482628
"894",1977,"Liberia","Africa",1703617
"895",1982,"Liberia","Africa",1956875
"896",1987,"Liberia","Africa",2269414
"897",1992,"Liberia","Africa",1912974
"898",1997,"Liberia","Africa",2200725
"899",2002,"Liberia","Africa",2814651
"900",2007,"Liberia","Africa",3193942
"901",1952,"Libya","Africa",1019729
"902",1957,"Libya","Africa",1201578
"903",1962,"Libya","Africa",1441863
"904",1967,"Libya","Africa",1759224
"905",1972,"Libya","Africa",2183877
"906",1977,"Libya","Africa",2721783
"907",1982,"Libya","Africa",3344074
"908",1987,"Libya","Africa",3799845
"909",1992,"Libya","Africa",4364501
"910",1997,"Libya","Africa",4759670
"911",2002,"Libya","Africa",5368585
"912",2007,"Libya","Africa",6036914
"913",1952,"Madagascar","Africa",4762912
"914",1957,"Madagascar","Africa",5181679
"915",1962,"Madagascar","Africa",5703324
"916",1967,"Madagascar","Africa",6334556
"917",1972,"Madagascar","Africa",7082430
"918",1977,"Madagascar","Africa",8007166
"919",1982,"Madagascar","Africa",9171477
"920",1987,"Madagascar","Africa",10568642
"921",1992,"Madagascar","Africa",12210395
"922",1997,"Madagascar","Africa",14165114
"923",2002,"Madagascar","Africa",16473477
"924",2007,"Madagascar","Africa",19167654
"925",1952,"Malawi","Africa",2917802
"926",1957,"Malawi","Africa",3221238
"927",1962,"Malawi","Africa",3628608
"928",1967,"Malawi","Africa",4147252
"929",1972,"Malawi","Africa",4730997
"930",1977,"Malawi","Africa",5637246
"931",1982,"Malawi","Africa",6502825
"932",1987,"Malawi","Africa",7824747
"933",1992,"Malawi","Africa",10014249
"934",1997,"Malawi","Africa",10419991
"935",2002,"Malawi","Africa",11824495
"936",2007,"Malawi","Africa",13327079
"937",1952,"Malaysia","Asia",6748378
"938",1957,"Malaysia","Asia",7739235
"939",1962,"Malaysia","Asia",8906385
"940",1967,"Malaysia","Asia",10154878
"941",1972,"Malaysia","Asia",11441462
"942",1977,"Malaysia","Asia",12845381
"943",1982,"Malaysia","Asia",14441916
"944",1987,"Malaysia","Asia",16331785
"945",1992,"Malaysia","Asia",18319502
"946",1997,"Malaysia","Asia",20476091
"947",2002,"Malaysia","Asia",22662365
"948",2007,"Malaysia","Asia",24821286
"949",1952,"Mali","Africa",3838168
"950",1957,"Mali","Africa",4241884
"951",1962,"Mali","Africa",4690372
"952",1967,"Mali","Africa",5212416
"953",1972,"Mali","Africa",5828158
"954",1977,"Mali","Africa",6491649
"955",1982,"Mali","Africa",6998256
"956",1987,"Mali","Africa",7634008
"957",1992,"Mali","Africa",8416215
"958",1997,"Mali","Africa",9384984
"959",2002,"Mali","Africa",10580176
"960",2007,"Mali","Africa",12031795
"961",1952,"Mauritania","Africa",1022556
"962",1957,"Mauritania","Africa",1076852
"963",1962,"Mauritania","Africa",1146757
"964",1967,"Mauritania","Africa",1230542
"965",1972,"Mauritania","Africa",1332786
"966",1977,"Mauritania","Africa",1456688
"967",1982,"Mauritania","Africa",1622136
"968",1987,"Mauritania","Africa",1841240
"969",1992,"Mauritania","Africa",2119465
"970",1997,"Mauritania","Africa",2444741
"971",2002,"Mauritania","Africa",2828858
"972",2007,"Mauritania","Africa",3270065
"973",1952,"Mauritius","Africa",516556
"974",1957,"Mauritius","Africa",609816
"975",1962,"Mauritius","Africa",701016
"976",1967,"Mauritius","Africa",789309
"977",1972,"Mauritius","Africa",851334
"978",1977,"Mauritius","Africa",913025
"979",1982,"Mauritius","Africa",992040
"980",1987,"Mauritius","Africa",1042663
"981",1992,"Mauritius","Africa",1096202
"982",1997,"Mauritius","Africa",1149818
"983",2002,"Mauritius","Africa",1200206
"984",2007,"Mauritius","Africa",1250882
"985",1952,"Mexico","Americas",30144317
"986",1957,"Mexico","Americas",35015548
"987",1962,"Mexico","Americas",41121485
"988",1967,"Mexico","Americas",47995559
"989",1972,"Mexico","Americas",55984294
"990",1977,"Mexico","Americas",63759976
"991",1982,"Mexico","Americas",71640904
"992",1987,"Mexico","Americas",80122492
"993",1992,"Mexico","Americas",88111030
"994",1997,"Mexico","Americas",95895146
"995",2002,"Mexico","Americas",102479927
"996",2007,"Mexico","Americas",108700891
"997",1952,"Mongolia","Asia",800663
"998",1957,"Mongolia","Asia",882134
"999",1962,"Mongolia","Asia",1010280
"1000",1967,"Mongolia","Asia",1149500
"1001",1972,"Mongolia","Asia",1320500
"1002",1977,"Mongolia","Asia",1528000
"1003",1982,"Mongolia","Asia",1756032
"1004",1987,"Mongolia","Asia",2015133
"1005",1992,"Mongolia","Asia",2312802
"1006",1997,"Mongolia","Asia",2494803
"1007",2002,"Mongolia","Asia",2674234
"1008",2007,"Mongolia","Asia",2874127
"1009",1952,"Montenegro","Europe",413834
"1010",1957,"Montenegro","Europe",442829
"1011",1962,"Montenegro","Europe",474528
"1012",1967,"Montenegro","Europe",501035
"1013",1972,"Montenegro","Europe",527678
"1014",1977,"Montenegro","Europe",560073
"1015",1982,"Montenegro","Europe",562548
"1016",1987,"Montenegro","Europe",569473
"1017",1992,"Montenegro","Europe",621621
"1018",1997,"Montenegro","Europe",692651
"1019",2002,"Montenegro","Europe",720230
"1020",2007,"Montenegro","Europe",684736
"1021",1952,"Morocco","Africa",9939217
"1022",1957,"Morocco","Africa",11406350
"1023",1962,"Morocco","Africa",13056604
"1024",1967,"Morocco","Africa",14770296
"1025",1972,"Morocco","Africa",16660670
"1026",1977,"Morocco","Africa",18396941
"1027",1982,"Morocco","Africa",20198730
"1028",1987,"Morocco","Africa",22987397
"1029",1992,"Morocco","Africa",25798239
"1030",1997,"Morocco","Africa",28529501
"1031",2002,"Morocco","Africa",31167783
"1032",2007,"Morocco","Africa",33757175
"1033",1952,"Mozambique","Africa",6446316
"1034",1957,"Mozambique","Africa",7038035
"1035",1962,"Mozambique","Africa",7788944
"1036",1967,"Mozambique","Africa",8680909
"1037",1972,"Mozambique","Africa",9809596
"1038",1977,"Mozambique","Africa",11127868
"1039",1982,"Mozambique","Africa",12587223
"1040",1987,"Mozambique","Africa",12891952
"1041",1992,"Mozambique","Africa",13160731
"1042",1997,"Mozambique","Africa",16603334
"1043",2002,"Mozambique","Africa",18473780
"1044",2007,"Mozambique","Africa",19951656
"1045",1952,"Myanmar","Asia",20092996
"1046",1957,"Myanmar","Asia",21731844
"1047",1962,"Myanmar","Asia",23634436
"1048",1967,"Myanmar","Asia",25870271
"1049",1972,"Myanmar","Asia",28466390
"1050",1977,"Myanmar","Asia",31528087
"1051",1982,"Myanmar","Asia",34680442
"1052",1987,"Myanmar","Asia",38028578
"1053",1992,"Myanmar","Asia",40546538
"1054",1997,"Myanmar","Asia",43247867
"1055",2002,"Myanmar","Asia",45598081
"1056",2007,"Myanmar","Asia",47761980
"1057",1952,"Namibia","Africa",485831
"1058",1957,"Namibia","Africa",548080
"1059",1962,"Namibia","Africa",621392
"1060",1967,"Namibia","Africa",706640
"1061",1972,"Namibia","Africa",821782
"1062",1977,"Namibia","Africa",977026
"1063",1982,"Namibia","Africa",1099010
"1064",1987,"Namibia","Africa",1278184
"1065",1992,"Namibia","Africa",1554253
"1066",1997,"Namibia","Africa",1774766
"1067",2002,"Namibia","Africa",1972153
"1068",2007,"Namibia","Africa",2055080
"1069",1952,"Nepal","Asia",9182536
"1070",1957,"Nepal","Asia",9682338
"1071",1962,"Nepal","Asia",10332057
"1072",1967,"Nepal","Asia",11261690
"1073",1972,"Nepal","Asia",12412593
"1074",1977,"Nepal","Asia",13933198
"1075",1982,"Nepal","Asia",15796314
"1076",1987,"Nepal","Asia",17917180
"1077",1992,"Nepal","Asia",20326209
"1078",1997,"Nepal","Asia",23001113
"1079",2002,"Nepal","Asia",25873917
"1080",2007,"Nepal","Asia",28901790
"1081",1952,"Netherlands","Europe",10381988
"1082",1957,"Netherlands","Europe",11026383
"1083",1962,"Netherlands","Europe",11805689
"1084",1967,"Netherlands","Europe",12596822
"1085",1972,"Netherlands","Europe",13329874
"1086",1977,"Netherlands","Europe",13852989
"1087",1982,"Netherlands","Europe",14310401
"1088",1987,"Netherlands","Europe",14665278
"1089",1992,"Netherlands","Europe",15174244
"1090",1997,"Netherlands","Europe",15604464
"1091",2002,"Netherlands","Europe",16122830
"1092",2007,"Netherlands","Europe",16570613
"1093",1952,"New Zealand","Oceania",1994794
"1094",1957,"New Zealand","Oceania",2229407
"1095",1962,"New Zealand","Oceania",2488550
"1096",1967,"New Zealand","Oceania",2728150
"1097",1972,"New Zealand","Oceania",2929100
"1098",1977,"New Zealand","Oceania",3164900
"1099",1982,"New Zealand","Oceania",3210650
"1100",1987,"New Zealand","Oceania",3317166
"1101",1992,"New Zealand","Oceania",3437674
"1102",1997,"New Zealand","Oceania",3676187
"1103",2002,"New Zealand","Oceania",3908037
"1104",2007,"New Zealand","Oceania",4115771
"1105",1952,"Nicaragua","Americas",1165790
"1106",1957,"Nicaragua","Americas",1358828
"1107",1962,"Nicaragua","Americas",1590597
"1108",1967,"Nicaragua","Americas",1865490
"1109",1972,"Nicaragua","Americas",2182908
"1110",1977,"Nicaragua","Americas",2554598
"1111",1982,"Nicaragua","Americas",2979423
"1112",1987,"Nicaragua","Americas",3344353
"1113",1992,"Nicaragua","Americas",4017939
"1114",1997,"Nicaragua","Americas",4609572
"1115",2002,"Nicaragua","Americas",5146848
"1116",2007,"Nicaragua","Americas",5675356
"1117",1952,"Niger","Africa",3379468
"1118",1957,"Niger","Africa",3692184
"1119",1962,"Niger","Africa",4076008
"1120",1967,"Niger","Africa",4534062
"1121",1972,"Niger","Africa",5060262
"1122",1977,"Niger","Africa",5682086
"1123",1982,"Niger","Africa",6437188
"1124",1987,"Niger","Africa",7332638
"1125",1992,"Niger","Africa",8392818
"1126",1997,"Niger","Africa",9666252
"1127",2002,"Niger","Africa",11140655
"1128",2007,"Niger","Africa",12894865
"1129",1952,"Nigeria","Africa",33119096
"1130",1957,"Nigeria","Africa",37173340
"1131",1962,"Nigeria","Africa",41871351
"1132",1967,"Nigeria","Africa",47287752
"1133",1972,"Nigeria","Africa",53740085
"1134",1977,"Nigeria","Africa",62209173
"1135",1982,"Nigeria","Africa",73039376
"1136",1987,"Nigeria","Africa",81551520
"1137",1992,"Nigeria","Africa",93364244
"1138",1997,"Nigeria","Africa",106207839
"1139",2002,"Nigeria","Africa",119901274
"1140",2007,"Nigeria","Africa",135031164
"1141",1952,"Norway","Europe",3327728
"1142",1957,"Norway","Europe",3491938
"1143",1962,"Norway","Europe",3638919
"1144",1967,"Norway","Europe",3786019
"1145",1972,"Norway","Europe",3933004
"1146",1977,"Norway","Europe",4043205
"1147",1982,"Norway","Europe",4114787
"1148",1987,"Norway","Europe",4186147
"1149",1992,"Norway","Europe",4286357
"1150",1997,"Norway","Europe",4405672
"1151",2002,"Norway","Europe",4535591
"1152",2007,"Norway","Europe",4627926
"1153",1952,"Oman","Asia",507833
"1154",1957,"Oman","Asia",561977
"1155",1962,"Oman","Asia",628164
"1156",1967,"Oman","Asia",714775
"1157",1972,"Oman","Asia",829050
"1158",1977,"Oman","Asia",1004533
"1159",1982,"Oman","Asia",1301048
"1160",1987,"Oman","Asia",1593882
"1161",1992,"Oman","Asia",1915208
"1162",1997,"Oman","Asia",2283635
"1163",2002,"Oman","Asia",2713462
"1164",2007,"Oman","Asia",3204897
"1165",1952,"Pakistan","Asia",41346560
"1166",1957,"Pakistan","Asia",46679944
"1167",1962,"Pakistan","Asia",53100671
"1168",1967,"Pakistan","Asia",60641899
"1169",1972,"Pakistan","Asia",69325921
"1170",1977,"Pakistan","Asia",78152686
"1171",1982,"Pakistan","Asia",91462088
"1172",1987,"Pakistan","Asia",105186881
"1173",1992,"Pakistan","Asia",120065004
"1174",1997,"Pakistan","Asia",135564834
"1175",2002,"Pakistan","Asia",153403524
"1176",2007,"Pakistan","Asia",169270617
"1177",1952,"Panama","Americas",940080
"1178",1957,"Panama","Americas",1063506
"1179",1962,"Panama","Americas",1215725
"1180",1967,"Panama","Americas",1405486
"1181",1972,"Panama","Americas",1616384
"1182",1977,"Panama","Americas",1839782
"1183",1982,"Panama","Americas",2036305
"1184",1987,"Panama","Americas",2253639
"1185",1992,"Panama","Americas",2484997
"1186",1997,"Panama","Americas",2734531
"1187",2002,"Panama","Americas",2990875
"1188",2007,"Panama","Americas",3242173
"1189",1952,"Paraguay","Americas",1555876
"1190",1957,"Paraguay","Americas",1770902
"1191",1962,"Paraguay","Americas",2009813
"1192",1967,"Paraguay","Americas",2287985
"1193",1972,"Paraguay","Americas",2614104
"1194",1977,"Paraguay","Americas",2984494
"1195",1982,"Paraguay","Americas",3366439
"1196",1987,"Paraguay","Americas",3886512
"1197",1992,"Paraguay","Americas",4483945
"1198",1997,"Paraguay","Americas",5154123
"1199",2002,"Paraguay","Americas",5884491
"1200",2007,"Paraguay","Americas",6667147
"1201",1952,"Peru","Americas",8025700
"1202",1957,"Peru","Americas",9146100
"1203",1962,"Peru","Americas",10516500
"1204",1967,"Peru","Americas",12132200
"1205",1972,"Peru","Americas",13954700
"1206",1977,"Peru","Americas",15990099
"1207",1982,"Peru","Americas",18125129
"1208",1987,"Peru","Americas",20195924
"1209",1992,"Peru","Americas",22430449
"1210",1997,"Peru","Americas",24748122
"1211",2002,"Peru","Americas",26769436
"1212",2007,"Peru","Americas",28674757
"1213",1952,"Philippines","Asia",22438691
"1214",1957,"Philippines","Asia",26072194
"1215",1962,"Philippines","Asia",30325264
"1216",1967,"Philippines","Asia",35356600
"1217",1972,"Philippines","Asia",40850141
"1218",1977,"Philippines","Asia",46850962
"1219",1982,"Philippines","Asia",53456774
"1220",1987,"Philippines","Asia",60017788
"1221",1992,"Philippines","Asia",67185766
"1222",1997,"Philippines","Asia",75012988
"1223",2002,"Philippines","Asia",82995088
"1224",2007,"Philippines","Asia",91077287
"1225",1952,"Poland","Europe",25730551
"1226",1957,"Poland","Europe",28235346
"1227",1962,"Poland","Europe",30329617
"1228",1967,"Poland","Europe",31785378
"1229",1972,"Poland","Europe",33039545
"1230",1977,"Poland","Europe",34621254
"1231",1982,"Poland","Europe",36227381
"1232",1987,"Poland","Europe",37740710
"1233",1992,"Poland","Europe",38370697
"1234",1997,"Poland","Europe",38654957
"1235",2002,"Poland","Europe",38625976
"1236",2007,"Poland","Europe",38518241
"1237",1952,"Portugal","Europe",8526050
"1238",1957,"Portugal","Europe",8817650
"1239",1962,"Portugal","Europe",9019800
"1240",1967,"Portugal","Europe",9103000
"1241",1972,"Portugal","Europe",8970450
"1242",1977,"Portugal","Europe",9662600
"1243",1982,"Portugal","Europe",9859650
"1244",1987,"Portugal","Europe",9915289
"1245",1992,"Portugal","Europe",9927680
"1246",1997,"Portugal","Europe",10156415
"1247",2002,"Portugal","Europe",10433867
"1248",2007,"Portugal","Europe",10642836
"1249",1952,"Puerto Rico","Americas",2227000
"1250",1957,"Puerto Rico","Americas",2260000
"1251",1962,"Puerto Rico","Americas",2448046
"1252",1967,"Puerto Rico","Americas",2648961
"1253",1972,"Puerto Rico","Americas",2847132
"1254",1977,"Puerto Rico","Americas",3080828
"1255",1982,"Puerto Rico","Americas",3279001
"1256",1987,"Puerto Rico","Americas",3444468
"1257",1992,"Puerto Rico","Americas",3585176
"1258",1997,"Puerto Rico","Americas",3759430
"1259",2002,"Puerto Rico","Americas",3859606
"1260",2007,"Puerto Rico","Americas",3942491
"1261",1952,"Reunion","Africa",257700
"1262",1957,"Reunion","Africa",308700
"1263",1962,"Reunion","Africa",358900
"1264",1967,"Reunion","Africa",414024
"1265",1972,"Reunion","Africa",461633
"1266",1977,"Reunion","Africa",492095
"1267",1982,"Reunion","Africa",517810
"1268",1987,"Reunion","Africa",562035
"1269",1992,"Reunion","Africa",622191
"1270",1997,"Reunion","Africa",684810
"1271",2002,"Reunion","Africa",743981
"1272",2007,"Reunion","Africa",798094
"1273",1952,"Romania","Europe",16630000
"1274",1957,"Romania","Europe",17829327
"1275",1962,"Romania","Europe",18680721
"1276",1967,"Romania","Europe",19284814
"1277",1972,"Romania","Europe",20662648
"1278",1977,"Romania","Europe",21658597
"1279",1982,"Romania","Europe",22356726
"1280",1987,"Romania","Europe",22686371
"1281",1992,"Romania","Europe",22797027
"1282",1997,"Romania","Europe",22562458
"1283",2002,"Romania","Europe",22404337
"1284",2007,"Romania","Europe",22276056
"1285",1952,"Rwanda","Africa",2534927
"1286",1957,"Rwanda","Africa",2822082
"1287",1962,"Rwanda","Africa",3051242
"1288",1967,"Rwanda","Africa",3451079
"1289",1972,"Rwanda","Africa",3992121
"1290",1977,"Rwanda","Africa",4657072
"1291",1982,"Rwanda","Africa",5507565
"1292",1987,"Rwanda","Africa",6349365
"1293",1992,"Rwanda","Africa",7290203
"1294",1997,"Rwanda","Africa",7212583
"1295",2002,"Rwanda","Africa",7852401
"1296",2007,"Rwanda","Africa",8860588
"1297",1952,"Sao Tome and Principe","Africa",60011
"1298",1957,"Sao Tome and Principe","Africa",61325
"1299",1962,"Sao Tome and Principe","Africa",65345
"1300",1967,"Sao Tome and Principe","Africa",70787
"1301",1972,"Sao Tome and Principe","Africa",76595
"1302",1977,"Sao Tome and Principe","Africa",86796
"1303",1982,"Sao Tome and Principe","Africa",98593
"1304",1987,"Sao Tome and Principe","Africa",110812
"1305",1992,"Sao Tome and Principe","Africa",125911
"1306",1997,"Sao Tome and Principe","Africa",145608
"1307",2002,"Sao Tome and Principe","Africa",170372
"1308",2007,"Sao Tome and Principe","Africa",199579
"1309",1952,"Saudi Arabia","Asia",4005677
"1310",1957,"Saudi Arabia","Asia",4419650
"1311",1962,"Saudi Arabia","Asia",4943029
"1312",1967,"Saudi Arabia","Asia",5618198
"1313",1972,"Saudi Arabia","Asia",6472756
"1314",1977,"Saudi Arabia","Asia",8128505
"1315",1982,"Saudi Arabia","Asia",11254672
"1316",1987,"Saudi Arabia","Asia",14619745
"1317",1992,"Saudi Arabia","Asia",16945857
"1318",1997,"Saudi Arabia","Asia",21229759
"1319",2002,"Saudi Arabia","Asia",24501530
"1320",2007,"Saudi Arabia","Asia",27601038
"1321",1952,"Senegal","Africa",2755589
"1322",1957,"Senegal","Africa",3054547
"1323",1962,"Senegal","Africa",3430243
"1324",1967,"Senegal","Africa",3965841
"1325",1972,"Senegal","Africa",4588696
"1326",1977,"Senegal","Africa",5260855
"1327",1982,"Senegal","Africa",6147783
"1328",1987,"Senegal","Africa",7171347
"1329",1992,"Senegal","Africa",8307920
"1330",1997,"Senegal","Africa",9535314
"1331",2002,"Senegal","Africa",10870037
"1332",2007,"Senegal","Africa",12267493
"1333",1952,"Serbia","Europe",6860147
"1334",1957,"Serbia","Europe",7271135
"1335",1962,"Serbia","Europe",7616060
"1336",1967,"Serbia","Europe",7971222
"1337",1972,"Serbia","Europe",8313288
